Year,Value
1900,1.764052345967664
1901,2.1642095543348874
1902,3.1429475384406267
1903,5.3838407376420845
1904,7.251398727792052
1905,6.274120847915642
1906,7.224209265441231
1907,7.072852057143533
1908,6.969633205349975
1909,7.380231707288347
1910,7.524275278449225
1911,8.9785487854122
1912,9.739586510559192
1913,9.86126152705202
1914,10.305124759797446
1915,10.638799087171712
1916,12.132878160329318
1917,11.927719896563516
1918,12.240787598214418
1919,11.386691858912693
1920,8.833702043078613
1921,9.487320638518973
1922,10.35175683737848
1923,9.609591816972037
1924,11.879346440959644
1925,10.424980766360878
1926,10.470739283662324
1927,10.28355543363649
1928,11.816334647994948
1929,13.285693417895233
1930,13.44064084359215
1931,13.818803363194323
1932,12.93101761556421
1933,10.950221147340283
1934,10.60230899801413
1935,10.758657967118111
1936,11.988948647845833
1937,13.191328496630245
1938,12.804001679222292
1939,12.501698928646956
1940,11.453145963579864
1941,10.033128026400888
1942,8.326857835775876
1943,10.277633231007666
1944,9.767981049256013
1945,9.329906747644827
1946,8.0771113875949
1947,8.85460174342681
1948,7.240703895868859
1949,7.02796361565489
1950,6.132497054461215
1951,6.519399552320477
1952,6.008594414751604
1953,4.827962230629192
1954,4.799780002290537
1955,5.228111872820954
1956,5.294629095204122
1957,5.597100992943904
1958,4.962778899262941
1959,4.600037733275802
1960,3.927577285499851
1961,3.56802412395931
1962,2.7548778419148556
1963,1.0285952395831788
1964,1.2060213818369316
1965,0.8042404456286698
1966,-0.8259579013373748
1967,-0.3631756458116006
1968,-1.2704740101948429
1969,-1.218528614398704
1970,-0.4894380522211671
1971,-0.36045514146375646
1972,0.7789455430795442
1973,-0.4558802772741084
1974,-0.0535386360965594
1975,-0.7383487270368726
1976,-1.6091458762187543
1977,-2.1879955409831697
1978,-2.4995480731105424
1979,-2.443382730880797
1980,-3.6085325716641536
1981,-2.7077060847099665
1982,-2.242043644979507
1983,-3.7782873312567307
1984,-2.290035137461131
1985,-0.3941459614305478
1986,0.7846336097291029
1987,0.604708773916752
1988,-0.4660438475937905
1989,0.5884078793373462
1990,0.18523093236416655
1991,1.407676002746594
1992,1.6159509808234542
1993,2.5925900173071668
1994,2.9489564144815685
1995,3.6555295826735166
1996,3.666029603394337
1997,5.4519000973001726
1998,5.578812190003792
1999,5.980801553448494
2000,7.863952250504748
2001,6.516193189362301
2002,5.2457081908765675
2003,6.2151048990345785
2004,5.041981493920419
2005,6.985602679569712
2006,6.571983698809964
2007,5.8245288873692065
2008,7.747470913849591
2009,9.227985705284016
2010,11.095544665710586
2011,12.001589323985971
2012,11.14036363893127
2013,13.050428592030304
2014,12.782425221078924
2015,13.58488161687532
2016,14.532133584649069
2017,14.377123491558235
2018,14.991202861904316
2019,15.913409533470842
